customer_age,tenure_months,tenure_days,contract_type,payment_method,monthly_charges,num_support_calls,paperless_billing,region,churned
61,36,1080,Month-to-month,Electronic check,62.17,1,0,South,1
46,14,420,One year,Bank transfer,29.38,1,0,North,0
59,45,1350,Month-to-month,Electronic check,34.63,1,1,South,0
43,18,540,Month-to-month,Credit card,27.83,1,1,North,0
48,31,930,Two year,Credit card,88.15,3,0,West,0
32,69,2070,One year,Mailed check,50.87,1,0,West,0
57,38,1140,One year,Mailed check,71.57,0,1,North,0
77,53,1590,One year,Credit card,54.45,1,0,East,0
39,49,1470,One year,Electronic check,72.28,2,0,South,0
22,61,1830,One year,Credit card,105.04,0,0,East,0
61,4,120,Month-to-month,Electronic check,52.88,1,0,East,0
30,50,1500,Month-to-month,Bank transfer,61.48,1,0,East,1
61,17,510,Month-to-month,Electronic check,49.84,1,0,North,0
59,23,690,Month-to-month,Bank transfer,91.86,1,1,North,1
76,65,1950,Month-to-month,Credit card,44.36,1,1,West,1
54,28,840,Two year,Electronic check,41.68,1,0,North,0
25,37,1110,Month-to-month,Credit card,35.31,1,1,East,0
35,32,960,Month-to-month,Mailed check,34.79,1,0,South,0
34,8,240,Month-to-month,Mailed check,81.77,1,0,South,0
76,21,630,One year,Mailed check,134.23,2,0,North,1
71,11,330,Two year,Electronic check,45.12,1,1,North,0
43,30,900,Two year,Electronic check,93.79,1,1,East,1
72,1,30,Month-to-month,Bank transfer,76.28,3,1,North,1
54,55,1650,Month-to-month,Electronic check,42.45,2,1,East,1
37,39,1170,Two year,Bank transfer,63.08,0,1,West,0
23,6,180,Month-to-month,Credit card,64.18,4,1,East,1
74,71,2130,One year,Credit card,52.73,6,1,West,0
73,20,600,Month-to-month,Credit card,118.27,1,0,East,1
64,25,750,Two year,Credit card,22.35,3,0,East,0
24,35,1050,Month-to-month,Electronic check,79.53,0,1,North,0
52,38,1140,Month-to-month,Credit card,78.29,1,1,East,1
42,49,1470,Month-to-month,Electronic check,55.51,0,1,North,0
